OTU	C_01_L	C_02_D	C_03_D	C_04_D	C_05_L	C_06_D	C_07_L	C_08_L	C_09_D	C_10_D	C_11_L	C_12_D	C_13_L	C_14_L	C_15_D	C_16_L	C_17_L	C_18_D	C_19_D	C_20_D	C_21_D	C_22_L	C_23_L	C_24_D	C_25_L	C_26_L	F_01_L	F_02_D	F_03_D	F_04_D	F_05_L	F_06_D	F_07_L	F_08_L	F_09_D	F_10_D	F_11_L	F_12_D	F_13_L	F_14_L	F_15_D	F_16_L	F_17_L	F_18_D	F_19_D	F_20_D	F_21_D	F_22_L	F_23_L	F_24_D	F_25_L	F_26_L	S_01_L	S_02_D	S_03_D	S_04_D	S_05_L	S_06_D	S_07_L	S_08_L	S_09_D	S_10_D	S_11_L	S_12_D	S_13_L	S_14_L	S_15_D	S_16_L	S_17_L	S_18_D	S_19_D	S_20_D	S_21_D	S_22_L	S_23_L	S_24_D	S_25_L	S_26_L
DENOVO25	13	0	0	344	1	0	433	18	48	77	0	20	1	0	0	1	0	2	2477	2653	0	0	88	0	41	3	786	0	62	206	2552	164	582	930	489	3517	2198	1871	721	22	2728	1644	830	519	441	1020	44	15	8	48	905	0	0	0	1	21	0	4	0	0	0	0	7	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1
DENOVO26	5	923	106	261	27	27	174	517	56	664	0	8	73	56	80	10	84	88	107	122	203	858	557	0	514	684	0	0	0	1	0	6	0	1	0	0	0	0	0	3	0	0	5	0	0	0	1	0	1	0	1	0	0	749	1177	314	284	6194	329	76	385	1107	856	1188	546	369	275	414	383	367	1173	404	309	395	177	2089	177	1210
DENOVO27	5	232	211	196	55	0	315	91	60	726	0	48	90	115	197	95	622	281	89	191	157	423	199	0	565	562	6	3	11	0	0	3	1	3	5	18	21	0	12	2	0	0	22	1	0	1	45	6	47	4	6	0	1262	543	669	834	446	1375	395	350	672	914	1890	776	693	342	563	640	1255	687	923	1170	708	765	476	955	498	325
DENOVO28	0	0	0	0	0	0	1	0	0	24	0	3	0	2	22	0	0	0	109	88	0	0	0	0	0	3	209	3	701	657	214	2512	849	1096	8	1548	803	292	1248	4158	1509	2	2486	3136	355	374	175	171	3	0	1238	1371	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO29	16	183	67	108	0	0	85	29	0	4	0	0	0	2	0	0	0	2	311	399	1	2	0	0	49	1	279	0	1506	45	1107	68	107	384	0	1124	492	0	665	266	882	323	336	459	375	1403	8419	500	3120	2421	783	19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DENOVO30	0	0	1	0	0	0	48	0	0	0	0	0	0	6	16	0	0	0	35	60	0	0	0	0	0	0	283	470	300	895	173	764	141	863	1	2593	906	125	1028	5028	0	1700	2357	1313	26	691	1	1340	5133	1	811	308	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
DENOVO31	0	679	96	129	67	0	5	12	0	7	0	0	15	13	168	151	0	18	34	69	40	243	211	0	298	301	59	0	0	39	1	6	0	1	3	185	3	0	1	83	11	0	0	0	0	0	0	0	5	0	23	4	1505	1168	6218	5375	740	1993	1460	319	1535	1361	1016	746	1370	6055	2460	2695	4784	2063	811	3073	1412	5402	534	1011	1818	620
DENOVO32	0	0	0	0	222	0	0	1	21884	0	0	0	70	0	3	2	0	1	5	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO33	163	1133	1228	967	617	284	1103	470	499	448	480	349	514	241	319	2012	3776	60	129	93	1252	1497	2706	35	425	20	0	0	0	0	1	0	0	0	3	1	2	0	0	0	0	0	0	1	1	0	0	3	2	0	0	1	11	5	27	66	4	19	0	2	0	1	164	6	2	5	15	9	25	9	2	1	15	9	13	0	0	5
DENOVO34	0	0	0	19	0	0	1	0	0	0	0	0	14	42	2	0	0	0	32	82	0	0	0	0	28	14	66	0	0	3942	5997	493	0	65	0	1481	43	1329	1228	27	0	119	0	0	5035	1	2	1	0	1	0	2403	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
