;I1;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;I2;G20;I3;I4;I5;I6;I7;I8;I9;Kingdom;Phylum;Class;Order;Family;Genus;Species
27b9b534c0daa9df3d35d786877262d2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;d__Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermobacteriaceae;Methanothermobacter;NA
a3d6af66eecb21be495e3da9e7b1e004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;d__Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;NA
a3a2f3b0860b898f343f32af33cc17c7;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Actinobacteriota;Actinobacteria;Frankiales;uncultured;uncultured;uncultured_bacterium
baaa574f5716a6d2b658164dc39ba299;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Shuttleworthia;uncultured_bacterium
2b3272002c764b229e9e6e181d86b105;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae_R-7_group;uncultured_bacterium
0ffc4894e1570b7187e79b03a78ae1cd;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;uncultured_bacterium
6cd83296da7a5831c726a6289461e8d2;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae_R-7_group;uncultured_bacterium
97d5ed404ba83dcbaa164b1b8aa01d57;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;[Clostridium]_methylpentosum_group;[Clostridium]_methylpentosum_group;uncultured_bacterium
615ebbd0697b05e4d2075c972aa338bc;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;uncultured_bacterium
721724ea852161b0be0c5ed15ab1c4b3;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;uncultured;uncultured_bacterium
1a5e0ba65a6e274328ecd8a8d4da7c3c;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;uncultured_bacterium
9bd62933e7caa47ba8af7f78115f61fe;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;uncultured_bacterium
694f413b53b76692d2bf1cd02091399c;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;uncultured_bacterium
