"";"AX1";"AX2";"AX3";"AX4";"AX7";"AX8";"AX9";"AX10";"AX11";"AX12";"AX13";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"21ad6f713616cfbb709ac76952465684";"112";"53";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Actinobacteriota";"Actinobacteria";"Nitriliruptorales";"Nitriliruptoraceae";"Nitriliruptoraceae";NA
"108e7bc054a6efdf4ca788ac0136a2ab";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Demequinaceae";"Demequina";NA
"b7fb8af519a8515cd8f875eb9b0bb12c";"13";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Actinobacteriota";"Actinobacteria";"Corynebacteriales";"Dietziaceae";"Dietzia";NA
"16dd8fbd4a6940c4510f0d8bc5b9ea79";"0";"0";"0";"0";"0";"2";"0";"4";"0";"0";"0";"d__Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Brevibacteriaceae";"Brevibacterium";NA
"2ddb20b1534564a53c0e9f2657731292";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"d__Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"67-14";"67-14";NA
"a6773f5de0c1a08d5b44e387c5712daf";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"d__Bacteria";"Actinobacteriota";"Acidimicrobiia";"Microtrichales";"Microtrichaceae";"IMCC26207";NA
"dc3b6148edb10c74804f64b16960f8c4";"0";"0";"0";"0";"0";"0";"0";"0";"6";"6";"0";"d__Bacteria";"Actinobacteriota";"Acidimicrobiia";"Microtrichales";NA;NA;NA
"7191f16c9311f8f6e6d8a000a64041d0";"3";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Deinococcota";"Deinococci";"Deinococcales";"Trueperaceae";"Truepera";NA
"e7b9b09c2d0115cd6b192df87fb7a0e0";"2";"8";"4";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Dependentiae";"Babeliae";"Babeliales";"Babeliales";"Babeliales";NA
"a4dd09dc3c059791ceef64788a3acf2d";"0";"0";"0";"0";"0";"0";"0";"2";"6";"12";"0";"d__Bacteria";"Dependentiae";"Babeliae";"Babeliales";"Vermiphilaceae";"Vermiphilaceae";NA
