;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;Kingdom;Phylum;Class;Order;Family;Genus;Species
2a9e51ae6ea98e9de15e5281e518ca0d;0;0;0;0;0;0;0;0;0;0;0;0;37;106;48;24;d__Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Parvibacter;Adlercreutzia_caecicola
6b2167d36bff1bf0c4ed4921e569f289;11;9;0;0;75;65;0;31;0;0;0;22;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;unidentified
180b6670e22ca90101400b7b539e8d42;17;15;24;37;32;0;14;36;25;0;0;0;0;0;0;11;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;uncultured_bacterium
1ac26d21ffae184b4aa30672114cac5f;0;0;0;0;0;0;0;0;0;0;0;0;0;98;113;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;NA
e11847c0b32f0c6f7a2d97d064a8094a;0;0;0;0;56;46;0;107;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Eubacterium_plexicaudatum
5c33db7c460ec1200192e97fda0dbb2e;29;12;32;42;21;15;17;9;0;6;13;0;7;0;4;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NK4A214_group;unidentified
f1a76818de90ee8121d02e9a9ef52ce5;94;55;28;28;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;unidentified
f20320cfefaffd93d24be8850e21e699;0;0;0;45;15;0;0;0;29;12;0;18;10;18;37;20;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NA;NA
b7409db20419d9921bb75f9b0129d9ad;32;16;31;40;15;13;9;27;6;0;0;0;0;0;14;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_UCG-006;NA
1996e1aa486e155bae39e6865a49c191;0;11;43;52;23;16;0;37;0;0;0;0;10;0;0;11;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;uncultured;uncultured_bacterium
d6a391543ae952d8dcdcb466ac8655c2;13;48;27;65;0;0;0;22;0;0;0;0;0;12;0;15;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;uncultured_bacterium
9d5e0ad5255570159134088975331f19;14;23;35;35;14;18;37;25;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
423db5062e0e01691893b24e7378cf3d;0;40;49;0;17;7;0;0;0;9;0;40;0;11;20;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;uncultured;uncultured_bacterium
b8d1bc7ac1bb3fcce4d1b4d5e525f55b;0;0;0;0;25;11;0;0;0;0;0;0;47;0;106;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;NA
c0a472775f09ea4c7c8618c1cccaddfd;36;19;31;35;21;12;10;23;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;A2;uncultured_bacterium
dc8cb3b866116fdb325bc92e969f5cb5;0;0;0;0;0;30;0;25;0;0;44;0;49;18;6;9;d__Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;uncultured;unidentified
8dc370dc050d802a5de6074c14be9add;0;3;23;5;0;0;0;0;0;0;0;0;0;25;22;101;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;uncultured_bacterium
a63763d2761f4cab5fb79b1dac0d2905;56;6;57;26;6;14;4;9;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;uncultured_bacterium
7604f4f89594f923ac1cf31a38880c5e;16;14;25;24;0;0;22;18;0;0;0;0;19;12;14;14;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NA;NA
8f1c32972055e8763c9b8c360f2bf17f;0;0;0;0;16;0;0;13;0;0;0;0;0;0;91;56;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;NA
30ec3ba01cd56e99248ced77165acb88;0;0;0;0;15;0;24;35;0;0;33;37;32;0;0;0;d__Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;uncultured;unidentified
bf528e93d107c6238bc41bdc0308ba0c;0;0;0;72;36;9;20;24;14;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;NA
a39bcb297c41ad1493b27a1c87f443ec;40;0;16;0;0;0;0;21;0;0;15;30;11;0;0;40;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;uncultured;Clostridium_sp.
cc317e92246b4428b3aee0ede910c48c;8;0;0;0;0;0;0;0;0;41;75;49;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;unidentified
d09a3c6691bbd36b233865768f67c640;0;0;0;0;0;37;96;40;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_sensu_stricto_1;NA
12697dec931e38af63ab2e00bef41c03;0;10;8;5;0;0;2;6;57;10;13;11;11;12;9;18;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Harryflintia;uncultured_bacterium
99f093c8413648391b7c7d445d7e15d5;0;0;0;0;0;36;94;41;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_sensu_stricto_1;NA
e50198a9fef6909fc20ffb3d463452fe;14;14;8;36;0;16;8;47;0;0;0;0;0;26;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;unidentified
e2860a4e2214144df9358c286ee512d1;0;37;27;46;7;8;8;14;0;0;0;9;0;0;0;11;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;uncultured_bacterium
f5210c9c83b265473ce108300278d8bf;11;7;36;28;18;0;19;13;19;0;5;9;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;NA
2ae38d8f5ab74d45448332897ff7f7d7;9;22;14;29;0;0;0;10;0;0;0;12;0;22;29;13;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005;NA
4865e9b5a90863a8a7b1a843bd8d7c95;0;0;0;0;0;0;0;0;26;0;102;31;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;Ruminococcus_sp.
