"";"N1";"N2";"N3";"N4";"N5";"N6";"N7";"N8";"N9";"N10";"N11";"N12";"S1";"S2";"S3";"S4";"S5";"S6";"S7";"S8";"S9";"S10";"S11";"S12";"S13";"S14";"S15";"S16";"S17";"S18";"S19";"S20";"S21";"S22";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"566eabc057ecf1a7d1a56212ea781ffa";"457";"141";"134";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Bacteroidota";"Ignavibacteria";"Ignavibacteriales";"Melioribacteraceae";"IheB3-7";NA
"a09a3c0292b06c72c9f294c31173d6ea";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Armatimonadota";"Fimbriimonadia";"Fimbriimonadales";"Fimbriimonadaceae";"Fimbriimonadaceae";NA
"3aea5dcb93a1f1fd8eff4c0247e0d837";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";"uncultured";NA
"ddbfe473abc6e80a7c01bfc8a287f342";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Spirochaetota";"Spirochaetia";"Spirochaetales";"Spirochaetaceae";"Alkalispirochaeta";NA
"099eb667fe7eab5fe9017185a3db1f3d";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Spirochaetota";"Spirochaetia";"Spirochaetales";"Spirochaetaceae";"Sediminispirochaeta";NA
"b71b4f4763f3dade351520fe0ff0cb6a";"0";"0";"0";"0";"31";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"10";"0";"7";"6";"6";"0";"2";"0";"0";"5";"0";"4";"3";"6";"4";"0";"3";"3";"d__Bacteria";"Spirochaetota";"Spirochaetia";"Spirochaetales";"Spirochaetaceae";"Treponema";NA
"50d2f0b1b204900eefacea3a8528c554";"0";"0";"0";"23";"479";"0";"0";"6";"0";"12";"0";"51";"12";"0";"4";"5";"25";"10";"41";"38";"98";"48";"133";"37";"0";"58";"52";"56";"132";"120";"68";"48";"22";"50";"d__Bacteria";"Spirochaetota";"Spirochaetia";"Spirochaetales";"Spirochaetaceae";"uncultured";NA
"f624cdec1744e03b99f77b0925334cde";"676";"269";"116";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Nitrospirota";"Nitrospiria";"Nitrospirales";"Nitrospiraceae";"Nitrospira";NA
"db1f5cd18b8dea50d664d6eed9d89ca4";"341";"91";"68";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Chloroflexi";"Anaerolineae";"Ardenticatenales";"uncultured";"uncultured";NA
"33f9584d85645c60dafec8885923bfb2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Chloroflexi";"Anaerolineae";"Caldilineales";"Caldilineaceae";"Litorilinea";NA
"5194d6f6df81e258c299fb5e8abb32ed";"1624";"632";"540";"0";"0";"0";"3";"0";"0";"0";"57";"43";"12";"21";"11";"15";"19";"21";"29";"29";"43";"45";"49";"39";"0";"24";"43";"73";"25";"27";"22";"22";"8";"20";"d__Bacteria";"Chloroflexi";"Anaerolineae";"Caldilineales";"Caldilineaceae";"uncultured";NA
"413b2ab9fc61622f95fafb6b71a82b3e";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Chloroflexi";"Anaerolineae";"Caldilineales";"Caldilineaceae";NA;NA
"b767b3732f05cfa04e9a9e8970b5e485";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Chloroflexi";"Anaerolineae";"Caldilineales";"Caldilineaceae";"Caldilineaceae";NA
"769bf0592baef9621328efb535be8b1c";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Chloroflexi";"Anaerolineae";"SBR1031";"SBR1031";"SBR1031";NA
"25b8610a4a4fe23317cef409f2cea4dd";"52";"7";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Chloroflexi";"Anaerolineae";"Anaerolineales";"Anaerolineaceae";"uncultured";NA
"00b8623dbee69cef88626b52c845f364";"376";"358";"134";"0";"0";"3";"6";"13";"16";"26";"53";"66";"30";"31";"43";"62";"55";"90";"147";"176";"242";"389";"344";"263";"0";"358";"507";"553";"348";"416";"293";"262";"263";"319";"d__Bacteria";"Chloroflexi";"Anaerolineae";"SBR1031";"A4b";"A4b";NA
