;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S14;S15;S16;S17;S18;S19;S20;S21;S22;Kingdom;Phylum;Class;Order;Family;Genus;Species
ec7c428a3c0e7ff01e402b267b9a5b21;0;0;0;0.078658866329089;0.228380024360536;0.488787262161992;0.428559424105767;0.0256877905931311;0.0169386257128338;0.0152236793458168;0.0160262117596781;0.0449784745871619;0.0548422478869604;0.0246096633944929;0.0180819564676898;0.0359661917797271;0.0398779122379178;0.0197204624448443;0.0410393762014817;0.0301295570955107;0;0.0132756286010143;0.0067025027145136;0.00854798267608844;0;0;0;0.0422302870339822;0.0512751645078195;0.0162343518885963;0;0.027717722711902;0.0114022485234088;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Acetoanaerobium;NA
b3ad340898f67b1e8dd3ff9f03d30375;0.00983646870773392;0.00515118734868387;0;0.0122904478639202;0.159866017052375;0.0440537875768319;0;0;0;0;0;0.0299856497247746;0.0290341312342732;0;0.0158217119092286;0;0.0138038926977408;0.0123252890280277;0.0302395403589865;0.022597167821633;0.0312744331508991;0.00929294002070998;0.0174265070577354;0.00712331889674037;0;0;0;0.00791817881887166;0.0109875352516756;0.00541145062953209;0;0;0;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Anaerovorax;NA
df3d6113f855e22f2a6d44e60f01baa7;0.0565596950694701;0.0721166228815742;0.0128110231737175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Romboutsia;NA
b39545bc0c96aa3bb848e56a1564fdb6;0.0270502889462683;0.0334827177664452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Paeniclostridium;NA
4e15ac4eb524a0cb9d01d69312c72f80;0;0;0;0;0.0329882257409663;0.0356625899431496;0;0;0;0;0;0;0.0145170656171366;0.0246096633944929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcales-Tissierellales;NA;NA
8fa94c4ec9dfa63afcac0b382bb50a84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00599436529662118;0;0;0;0;0;0;0.00268100108580544;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;NA;NA;NA
c7d7c7b0952d4febdcf74339b6f5b7cf;0;0;0;0;0;0.0251735929010468;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00753238927387767;0;0.00796537716060856;0.0067025027145136;0;0.0143382880084118;0.019690207403518;0.0142959256611866;0.0857802705377763;0.100108654515267;0.059525956924853;0.0702820350049878;0.0360330395254726;0.0729743905498164;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcales-Tissierellales;Anoxynatronum;NA
da9e70ea06ee0dc645c7c7dc35e51e29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0112985839108165;0;0;0;0;0;0;0;0.0369515011547344;0.0500543272576333;0.0216458025181284;0.0294731114537045;0;0.0296458461608629;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Acidaminobacteraceae;Acidaminobacter;NA
3d49c5f67146e9f804d08040f42198a0;0.00491823435386696;0;0;0.0835750454746571;1.68239951278928;0.975476724915564;0.728270916781042;0.0513755811862622;0;0.150061982123051;0.144235905837102;0.621131315727473;1.34524808052132;1.01583221678379;0.630608231810682;0.223789637740524;0.849706283838709;0.465895925259447;0.909346177938095;0.796550165712564;0.964816262705238;0.400923983750631;0.437003176986287;0.255014816503305;0.511398938966687;0.329482803885534;0.173750481112883;0.954140547674035;1.41372953571559;1.08048630902991;0.854720232157432;0.645822939187316;0.814120544571389;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Fusibacteraceae;Fusibacter;NA
4aaba39c0c0a3eaf0dac3a0577f7a844;0;0;0;0;0.0355257815671945;0;0;0;0;0;0;0;0;0;0.0090409782338449;0;0;0;0;0.00941548659234709;0.00625488663017983;0;0.00536200217161088;0;0;0.00787608296140719;0.00989717930389839;0.0184757505773672;0.00976669800148942;0.00901908438255348;0.0748163598440192;0.0360330395254726;0;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Dethiosulfatibacteraceae;Dethiosulfatibacter;NA
da31d7d83022116c5d964efe359628e6;0.22623878027788;0.200896306598671;0.0142344701930194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcales-Tissierellales;uncultured;NA
b4329a142cc6cb9d813e16d34a621994;0.100823804254273;0.0695410292072323;0.0156579172123214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0068014872585472;0;0.00684134911404529;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcales-Tissierellales;Soehngenia;NA
ebc72870a6cf8d2d5df71becfa8d49e0;0.00737735153080044;0;0;0;0;0;0.014005209938097;0;0;0;0;0;0;0;0;0;0;0;0;0.0131816812292859;0.00312744331508991;0.0053102514404057;0.00536200217161088;0;0;0;0.00659811953593226;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia;Hungateiclostridiaceae;Ercella;NA
138941a5ff41ade4d82e48e506a45d82;0.212713635804746;0.14680883943749;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;Calorithrix;NA
07fc8a3a4c0c1f7770da04e34f980454;0.33198081888602;0.337402771338794;0;1.48960228110712;1.08861144945189;1.04470410539344;1.19324388672586;0.0154126743558787;0.0112924171418892;0;1.28921970155632;0.0535458030799546;1.37105619717401;1.35489869021903;0.795606084578351;0.541490998461446;0.314422000337429;0.219390144698893;0.15767760330043;0.0922717686050015;0.0390930414386239;0.01858588004142;0.0254695103151517;0.0299179393663095;0.0254902897927321;0.019690207403518;0.0186946720184747;0.0171560541075553;0.0195333960029788;0.018038168765107;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;NA
3259e0bd30bc0375588fde56e0fbb59e;0;0;3.25115299208563;0.11553020992085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0112985839108165;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;NA
7c9b0a6fd7cf7a1771c91182126020cf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00452048911692245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;NA;NA;NA
d46bafcaa2bca4ee02ff75b9e18010a5;0.141399237673675;0.118477309019729;0.048397198656266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia;NA
55cbf8850eea57ed8c5432721260c923;0.408213451370958;0.329675990315768;0.227751523088311;0;0.0152253349573691;0.0062933982252617;0;0;0;0;0;0;0;0;0;0;0;0;0.0129598030109942;0.00941548659234709;0.00469116497263487;0;0;0.00284932755869615;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;NA;NA
7e73c3f451c71ca4288b93bf201c8199;0.0319685233001353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;uncultured;NA
dc0aabe5af793a7708c4e4e16cb00119;0;0;1.64408130729374;0.0344132540189765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Pseudorhodoferax;NA
be8dcafae13ffef295809aa39d3913a6;0;0;0;0.0934074037657932;0.0482135606983354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Lampropedia;NA
f215252b0148eef32fe032cca4bb007e;0;0;0.0398565165404544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium;NA
53bd2edec845654a76de457d22177430;0;0.00515118734868387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Competibacterales;Competibacteraceae;NA;NA
186395853dda173fed85fe65afd19145;0.670109430714374;0.486787204450626;0.00711723509650971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00431993433699808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Competibacterales;Competibacteraceae;Candidatus_Competibacter;NA
44716a0a14bde51ccb54a94a4b71856f;0.531169310217632;0.399217019523;0.049820645675568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Nitrosomonas;NA
